Year,Month,Price_alum,Price_gold,Price_nickel,Price_silver,Price_uran,Inflation_rate,Price_alum_infl,Price_gold_infl,Price_nickel_infl,Price_silver_infl,Price_uran_infl
1996,Jun,1482.48,385.27,7709.48,5.16,16.5,69.6,2514.28608,653.41792,13075.27808,8.75136,27.984
1996,Jul,1458.7,383.47,7203.65,5.07,16.5,69.6,2473.9552,650.36512,12217.3904,8.59872,27.984
1996,Aug,1463.36,387.35,7054.36,5.14,16.46,69.6,2481.85856,656.9456,11964.19456,8.71744,27.91616
1996,Sep,1407.38,383.14,7318.05,5.04,16.15,69.6,2386.91648,649.80544,12411.4128,8.54784,27.3904
1996,Oct,1336.34,381.07,7031.39,4.93,15.74,69.6,2266.43264,646.29472,11925.23744,8.36128,26.69504
1996,Nov,1449.52,377.85,6943.38,4.83,15.07,69.6,2458.38592,640.8336,11775.97248,8.19168,25.55872
1996,Dec,1500.29,369,6580.75,4.83,14.76,69.6,2544.49184,625.824,11160.952,8.19168,25.03296
1997,Jan,1575.61,355.11,7071.55,4.77,14.49,65.73,2611.258453,588.523803,11719.67982,7.905321,24.014277
1997,Feb,1580.01,346.58,7734.53,5.07,13.81,65.73,2618.550573,574.387034,12818.43657,8.402511,22.887313
1997,Mar,1631.57,351.81,7895.87,5.2,13.62,65.73,2704.000961,583.054713,13085.82535,8.61796,22.572426
1997,Apr,1561.44,344.47,7315.52,4.77,12.83,65.73,2587.774512,570.890131,12124.0113,7.905321,21.263159
1997,May,1625.25,343.84,7482.85,4.75,11.83,65.73,2693.526825,569.846032,12401.32731,7.872175,19.605859
1997,Jun,1567.55,340.76,7062.48,4.76,10.94,65.73,2597.900615,564.741548,11704.6481,7.888748,18.130862
1997,Jul,1591.99,324.1,6835.5,4.37,10.49,65.73,2638.405027,537.13093,11328.47415,7.242401,17.385077
1997,Aug,1710.58,324.01,6761.3,4.5,10.39,65.73,2834.944234,536.981773,11205.50249,7.45785,17.219347
1997,Sep,1610.6,322.82,6503.84,4.73,10.25,65.73,2669.24738,535.009586,10778.81403,7.839029,16.987325
1997,Oct,1607.86,324.87,6380.33,5.03,11.28,65.73,2664.706378,538.407051,10574.12091,8.336219,18.694344
1997,Nov,1598.99,306.04,6139.5,5.08,12.75,65.73,2650.006127,507.200092,10174.99335,8.419084,21.130575
1997,Dec,1530.51,288.74,5945.36,5.84,12.5,65.73,2536.514223,478.528802,9853.245128,9.678632,20.71625
1998,Jan,1485.79,289.1,5491.75,5.89,12.04,63.2,2424.80928,471.8112,8962.536,9.61248,19.64928
1998,Feb,1465.56,297.49,5386.88,6.81,11.38,63.2,2391.79392,485.50368,8791.38816,11.11392,18.57216
1998,Mar,1437.7,295.94,5395.8,6.24,10.66,63.2,2346.3264,482.97408,8805.9456,10.18368,17.39712
1998,Apr,1418.16,308.29,5393.88,6.34,10.75,63.2,2314.43712,503.12928,8802.81216,10.34688,17.544
1998,May,1364.72,299.1,5020,5.58,10.75,63.2,2227.22304,488.1312,8192.64,9.10656,17.544
1998,Jun,1307.24,292.32,4475.7,5.26,10.75,63.2,2133.41568,477.06624,7304.3424,8.58432,17.544
1998,Jul,1309.21,292.87,4325.43,5.46,10.61,63.2,2136.63072,477.96384,7059.10176,8.91072,17.31552
1998,Aug,1310.9,284.11,4080.63,5.18,10.5,63.2,2139.3888,463.66752,6659.58816,8.45376,17.136
1998,Sep,1342.27,288.98,4102.16,5,10.23,63.2,2190.58464,471.61536,6694.72512,8.16,16.69536
1998,Oct,1304.06,295.93,3871.93,5.01,9.61,63.2,2128.22592,482.95776,6318.98976,8.17632,15.68352
1998,Nov,1294.96,294.12,4131.91,4.97,8.88,63.2,2113.37472,480.00384,6743.27712,8.11104,14.49216
1998,Dec,1249.06,291.68,3878.21,4.88,8.49,63.2,2038.46592,476.02176,6329.23872,7.96416,13.85568
1999,Jan,1218.46,287.08,4268.75,5.14,9.01,59.7,1945.88062,458.46676,6817.19375,8.20858,14.38897
1999,Feb,1186.85,287.33,4626.38,5.53,9.2,59.7,1895.39945,458.86601,7388.32886,8.83141,14.6924
1999,Mar,1181.59,285.96,5011.3,5.19,10.44,59.7,1886.99923,456.67812,8003.0461,8.28843,16.67268
1999,Apr,1278.2,282.62,5102.63,5.06,10.85,59.7,2041.2854,451.34414,8148.90011,8.08082,17.32745
1999,May,1323.46,276.44,5399.34,5.26,10.73,59.7,2113.56562,441.47468,8622.74598,8.40022,17.13581
1999,Jun,1315.31,261.31,5195,5.03,10.56,59.7,2100.55007,417.31207,8296.415,8.03291,16.86432
1999,Jul,1403.76,256.08,5700.11,5.18,10.26,59.7,2241.80472,408.95976,9103.07567,8.27246,16.38522
1999,Aug,1431.32,256.69,6448.69,5.26,10.11,59.7,2285.81804,409.93393,10298.55793,8.40022,16.14567
1999,Sep,1492.48,264.74,7028.41,5.21,9.92,59.7,2383.49056,422.78978,11224.37077,8.32037,15.84224
1999,Oct,1474.41,310.72,7321.19,5.41,9.76,59.7,2354.63277,496.21984,11691.94043,8.63977,15.58672
1999,Nov,1472.76,293.18,7949.55,5.15,9.71,59.7,2351.99772,468.20846,12695.43135,8.22455,15.50687
1999,Dec,1554.48,283.07,8083.38,5.16,9.64,59.7,2482.50456,452.06279,12909.15786,8.24052,15.39508
2000,Jan,1680.28,284.32,8309.5,5.19,9.55,54.49,2595.864572,439.245968,12837.34655,8.018031,14.753795
2000,Feb,1670.27,299.86,9653.33,5.25,9.39,54.49,2580.400123,463.253714,14913.42952,8.110725,14.506611
2000,Mar,1577.05,286.39,10280.11,5.06,9.31,54.49,2436.384545,442.443911,15881.74194,7.817194,14.383019
2000,Apr,1457.14,279.69,9727.5,5.06,9.14,54.49,2251.135586,432.093081,15028.01475,7.817194,14.120386
2000,May,1466.79,275.19,10130.24,4.98,8.5,54.49,2266.043871,425.141031,15650.20778,7.693602,13.13165
2000,Jun,1506.31,285.73,8410.91,5,8.23,54.49,2327.098319,441.424277,12994.01486,7.7245,12.714527
2000,Jul,1563.5,281.59,8164.41,4.97,8.1,54.49,2415.45115,435.028391,12613.19701,7.678153,12.51369
2000,Aug,1527.63,274.47,8006.71,4.89,7.96,54.49,2360.035587,424.028703,12369.56628,7.554561,12.297404
2000,Sep,1601.21,273.68,8637.98,4.89,7.57,54.49,2473.709329,422.808232,13344.8153,7.554561,11.694893
2000,Oct,1500.24,270,7678.07,4.83,7.4,54.49,2317.720776,417.123,11861.85034,7.461867,11.43226
2000,Nov,1473.86,266.01,7339.77,4.68,7.13,54.49,2276.966314,410.958849,11339.21067,7.230132,11.015137
2000,Dec,1565.41,271.45,7314.34,4.64,7.14,54.49,2418.401909,419.363105,11299.92387,7.168336,11.030586
2001,Jan,1615.65,265.49,6994.77,4.66,7.1,50.24,2427.35256,398.872176,10508.94245,7.001184,10.66704
2001,Feb,1604.36,261.87,6524.13,4.56,7.39,50.24,2410.390464,393.433488,9801.852912,6.850944,11.102736
2001,Mar,1509.17,263.03,6133.52,4.4,7.69,50.24,2267.377008,395.176272,9215.000448,6.61056,11.553456
2001,Apr,1496.91,260.48,6329.87,4.37,8.23,50.24,2248.957584,391.345152,9509.996688,6.565488,12.364752
2001,May,1538.77,272.36,7060.83,4.43,9,50.24,2311.848048,409.193664,10608.19099,6.655632,13.5216
2001,Jun,1466.13,270.23,6641.19,4.37,8.78,50.24,2202.713712,405.993552,9977.723856,6.565488,13.191072
2001,Jul,1416.39,267.53,5937.05,4.25,8.75,50.24,2127.984336,401.937072,8919.82392,6.3852,13.146
2001,Aug,1377.08,272.39,5520.8,4.22,8.95,50.24,2068.924992,409.238736,8294.44992,6.340128,13.44648
2001,Sep,1344.56,283.42,5027,4.35,9.15,50.24,2020.066944,425.810208,7552.5648,6.53544,13.74696
2001,Oct,1282.5,283.06,4825.33,4.4,9.47,50.24,1926.828,425.269344,7249.575792,6.61056,14.227728
2001,Nov,1327.46,276.16,5078.41,4.12,9.43,50.24,1994.375904,414.902784,7629.803184,6.189888,14.167632
2001,Dec,1344.63,275.85,5263.82,4.37,9.5,50.24,2020.172112,414.43704,7908.363168,6.565488,14.2728
2002,Jan,1368.59,281.51,6043.18,4.51,9.59,47.89,2024.007751,416.325139,8937.258902,6.669839,14.182651
2002,Feb,1369.34,295.5,6029.25,4.42,9.72,47.89,2025.116926,437.01495,8916.657825,6.536738,14.374908
2002,Mar,1405,294.06,6537.5,4.54,9.95,47.89,2077.8545,434.885334,9668.30875,6.714206,14.715055
2002,Apr,1369.99,302.68,6958.21,4.58,9.75,47.89,2026.078211,447.633452,10290.49677,6.773362,14.419275
2002,May,1343.3,314.49,6761.36,4.7,9.9,47.89,1986.60637,465.099261,9999.375304,6.95083,14.64111
2002,Jun,1353.97,321.18,7119.86,4.9,9.9,47.89,2002.386233,474.993102,10529.56095,7.24661,14.64111
2002,Jul,1338.09,313.29,7142.72,4.92,9.89,47.89,1978.901301,463.324581,10563.36861,7.276188,14.626321
2002,Aug,1291.6,310.26,6717.14,4.54,9.85,47.89,1910.14724,458.843514,9933.978346,6.714206,14.567165
2002,Sep,1301.25,319.14,6640.24,4.55,9.8,47.89,1924.418625,471.976146,9820.250936,6.728995,14.49322
2002,Oct,1310.58,316.56,6804.46,4.4,9.84,47.89,1938.216762,468.160584,10063.11589,6.50716,14.552376
2002,Nov,1372.2,319.07,7313.93,4.51,9.86,47.89,2029.34658,471.872623,10816.57108,6.669839,14.581954
2002,Dec,1375.07,331.92,7193.16,4.63,9.88,47.89,2033.591023,490.876488,10637.96432,6.847307,14.611532
2003,Jan,1378.28,356.86,8026.02,4.81,10.16,44.61,1993.130708,516.055246,11606.42752,6.955741,14.692376
2003,Feb,1422.16,358.97,8623,4.66,10.1,44.61,2056.585576,519.106517,12469.7203,6.738826,14.60561
2003,Mar,1389.27,340.55,8378.81,4.53,10.1,44.61,2009.023347,492.469355,12116.59714,6.550833,14.60561
2003,Apr,1332.01,328.18,7910.13,4.49,10.1,44.61,1926.219661,474.581098,11438.83899,6.492989,14.60561
2003,May,1398.49,355.68,8330.63,4.74,10.9,44.61,2022.356389,514.348848,12046.92404,6.854514,15.76249
2003,Jun,1409.85,356.35,8874.76,4.53,10.9,44.61,2038.784085,515.317735,12833.79044,6.550833,15.76249
2003,Jul,1436.09,351.02,8797.39,4.8,10.95,44.61,2076.729749,507.610022,12721.90568,6.94128,15.834795
2003,Aug,1456.31,359.77,9351.38,4.99,11.24,44.61,2105.969891,520.263397,13523.03062,7.216039,16.254164
2003,Sep,1415.57,378.95,9965.34,5.17,11.49,44.61,2047.055777,547.999595,14410.87817,7.476337,16.615689
2003,Oct,1474.25,378.92,11047.17,5,12.37,44.61,2131.912925,547.956212,15975.31254,7.2305,17.888257
2003,Nov,1508.34,389.91,12086.5,5.18,13.18,44.61,2181.210474,563.848851,17478.28765,7.490798,19.059598
2003,Dec,1554.91,406.95,14162.5,5.63,13.35,44.61,2248.555351,588.490395,20480.39125,8.141543,19.305435
2004,Jan,1606.49,413.79,15326.55,6.3,14.8,40.84,2262.580516,582.781836,21585.91302,8.87292,20.84432
2004,Feb,1685.63,404.88,15145.13,6.44,16.05,40.84,2374.041292,570.232992,21330.40109,9.070096,22.60482
2004,Mar,1655.99,406.67,13715,7.23,17.14,40.84,2332.296316,572.754028,19316.206,10.182732,24.139976
2004,Apr,1729.74,403.26,12848.13,7.15,17.75,40.84,2436.165816,567.951384,18095.30629,10.07006,24.9991
2004,May,1623.22,383.78,11118.29,5.87,17.75,40.84,2286.143048,540.515752,15658.99964,8.267308,24.9991
2004,Jun,1677.72,392.37,13533.52,5.86,17.88,40.84,2362.900848,552.613908,19060.60957,8.253224,25.182192
2004,Jul,1709.27,398.09,15023.3,6.31,17.9,40.84,2407.335868,560.669956,21158.81572,8.887004,25.21036
2004,Aug,1692.19,400.51,13679.52,6.66,17.9,40.84,2383.280396,564.078284,19266.23597,9.379944,25.21036
2004,Sep,1723.6,405.28,13270.91,6.4,18.6,40.84,2427.51824,570.796352,18690.74964,9.01376,26.19624
2004,Oct,1819.57,420.46,14404.29,7.1,20.08,40.84,2562.682388,592.175864,20287.00204,9.99964,28.280672
2004,Nov,1813.9,439.38,14045.46,7.49,20.2,40.84,2554.69676,618.822792,19781.62586,10.548916,28.44968
2004,Dec,1849.18,442.08,13768.81,7.09,20.5,40.84,2604.385112,622.625472,19391.992,9.985556,28.8722
2005,Jan,1834.43,424.03,14505,6.62,20.54,31.96,2420.713828,559.549988,19140.798,8.735752,27.104584
2005,Feb,1882.85,423.35,15349.5,7.03,21.2,31.96,2484.60886,558.65266,20255.2002,9.276788,27.97552
2005,Mar,1979.85,433.85,16190.65,7.23,21.84,31.96,2612.61006,572.50846,21365.18174,9.540708,28.820064
2005,Apr,1894.29,429.23,16141.91,7.12,23.14,31.96,2499.705084,566.411908,21300.86444,9.395552,30.535544
2005,May,1743.7,421.87,16931.5,7.02,28.25,31.96,2300.98652,556.699652,22342.8074,9.263592,37.2787
2005,Jun,1731.3,430.66,16159.55,7.31,29,31.96,2284.62348,568.298936,21324.14218,9.646276,38.2684
2005,Jul,1778.79,424.48,14580.71,7.01,29.28,31.96,2347.291284,560.143808,19240.70492,9.250396,38.637888
2005,Aug,1867.84,437.93,14892.73,7.03,29.65,31.96,2464.801664,577.892428,19652.44651,9.276788,39.12614
2005,Sep,1839.91,456.05,14228.18,7.15,30.43,31.96,2427.945236,601.80358,18775.50633,9.43514,40.155428
2005,Oct,1928.71,469.9,12402.86,7.67,32.75,31.96,2545.125716,620.08004,16366.81406,10.121332,43.2169
2005,Nov,2050.59,476.67,12115.68,7.87,33.56,31.96,2705.958564,629.013732,15987.85133,10.385252,44.285776
2005,Dec,2247.45,510.1,13429.25,8.63,35.53,31.96,2965.73502,673.12796,17721.2383,11.388148,46.885388
2006,Jan,2377.86,549.86,14555.24,9.14,36.75,,2377.86,549.86,14555.24,9.14,36.75
2006,Feb,2455.33,555,14978.75,9.53,37.69,,2455.33,555,14978.75,9.53,37.69
2006,Mar,2429.13,557.09,14897.39,10.38,39.77,,2429.13,557.09,14897.39,10.38,39.77
2006,Apr,2621.11,610.65,17942.22,12.61,41.1,,2621.11,610.65,17942.22,12.61,41.1
2006,May,2861.48,675.39,21077.14,13.38,42.28,,2861.48,675.39,21077.14,13.38,42.28
2006,Jun,2477.34,596.15,20754.55,10.8,44.17,,2477.34,596.15,20754.55,10.8,44.17
2006,Jul,2512.71,633.71,26586.19,11.23,46.5,,2512.71,633.71,26586.19,11.23,46.5
2006,Aug,2459.93,632.59,30743.64,12.19,47.44,,2459.93,632.59,30743.64,12.19,47.44
2006,Sep,2472.88,598.19,30130.71,11.68,52.44,,2472.88,598.19,30130.71,11.68,52.44
2006,Oct,2654.59,585.78,32702.96,11.56,56.06,,2654.59,585.78,32702.96,11.56,56.06
2006,Nov,2702.8,627.83,32113.86,12.93,61.44,,2702.8,627.83,32113.86,12.93,61.44
2006,Dec,2813.63,629.79,34570.26,13.28,66.57,,2813.63,629.79,34570.26,13.28,66.57
2007,Jan,2809.34,631.17,36811.14,12.84,72,28.3,3604.38322,809.79111,47228.69262,16.47372,92.376
2007,Feb,2832.2,664.75,41184.25,13.91,76.25,28.3,3633.7126,852.87425,52839.39275,17.84653,97.82875
2007,Mar,2761.73,654.9,46324.77,13.18,89.44,28.3,3543.29959,840.2367,59434.67991,16.90994,114.75152
2007,Apr,2814.79,679.37,50266.84,13.72,110.43,28.3,3611.37557,871.63171,64492.35572,17.60276,141.68169
2007,May,2792.75,667.31,52179.05,13.15,119.11,28.3,3583.09825,856.15873,66945.72115,16.87145,152.81813
2007,Jun,2676.93,655.66,41718.57,13.14,136.22,28.3,3434.50119,841.21178,53524.92531,16.85862,174.77026
2007,Jul,2732.44,665.38,33425.68,12.91,131.5,28.3,3505.72052,853.68254,42885.14744,16.56353,168.7145
2007,Aug,2515.77,665.41,27652.27,12.33,109.6,28.3,3227.73291,853.72103,35477.86241,15.81939,140.6168
2007,Sep,2391.25,712.65,29537.5,12.83,85,28.3,3067.97375,914.32995,37896.6125,16.46089,109.055
2007,Oct,2442.37,754.6,31055.44,13.67,77.5,28.3,3133.56071,968.1518,39844.12952,17.53861,99.4325
2007,Nov,2506.89,806.25,30610.23,14.7,92,28.3,3216.33987,1034.41875,39272.92509,18.8601,118.036
2007,Dec,2381.69,803.2,25991.94,14.3,91.8,28.3,3055.70827,1030.5056,33347.65902,18.3469,117.7794
2008,Jan,2445.52,889.6,27689.55,15.91,87.56,23.56,3021.684512,1099.18976,34213.20798,19.658396,108.189136
2008,Feb,2776.93,922.3,27955.48,17.57,76,23.56,3431.174708,1139.59388,34541.79109,21.709492,93.9056
2008,Mar,3005.29,968.43,31225.26,19.32,73.71,23.56,3713.336324,1196.592108,38581.93126,23.871792,91.076076
2008,Apr,2959.27,909.71,28763.18,17.5,69.44,23.56,3656.474012,1124.037676,35539.78521,21.623,85.800064
2008,May,2902.9,888.66,25735,17.06,61.67,23.56,3586.82324,1098.028296,31798.166,21.079336,76.199452
2008,Jun,2957.86,889.49,22549.05,16.97,59,23.56,3654.731816,1099.053844,27861.60618,20.968132,72.9004
2008,Jul,3071.24,939.77,20160.22,18.03,61.84,23.56,3794.824144,1161.179812,24909.96783,22.277868,76.409504
2008,Aug,2764.38,839.03,18927.75,14.64,64.5,23.56,3415.667928,1036.705468,23387.1279,18.089184,79.6962
2008,Sep,2525.82,829.93,17794.55,12.37,63,23.56,3120.903192,1025.461508,21986.94598,15.284372,77.8428
2008,Oct,2121.41,806.62,12139.78,10.44,48.6,23.56,2621.214196,996.659672,14999.91217,12.899664,60.05016
2008,Nov,1852.43,760.86,10701.5,9.87,50.5,23.56,2288.862508,940.118616,13222.7734,12.195372,62.3978
2008,Dec,1490.43,816.09,9686.43,10.29,54.33,23.56,1841.575308,1008.360804,11968.55291,12.714324,67.130148
2009,Jan,1413.12,858.69,11306.91,11.27,51.44,24,1752.2688,1064.7756,14020.5684,13.9748,63.7856
2009,Feb,1330.2,943,10408.75,13.41,47,24,1649.448,1169.32,12906.85,16.6284,58.28
2009,Mar,1335.84,924.27,9696.36,13.12,43.38,24,1656.4416,1146.0948,12023.4864,16.2688,53.7912
2009,Apr,1420.85,890.2,11166,12.48,41.72,24,1761.854,1103.848,13845.84,15.4752,51.7328
2009,May,1460.45,928.65,12634.74,13.98,48.56,24,1810.958,1151.526,15667.0776,17.3352,60.2144
2009,Jun,1573.73,945.67,14960.46,14.65,51.5,24,1951.4252,1172.6308,18550.9704,18.166,63.86
2009,Jul,1667.96,934.23,15984.57,13.36,49.7,24,2068.2704,1158.4452,19820.8668,16.5664,61.628
2009,Aug,1933.75,949.38,19641.75,14.36,47.19,24,2397.85,1177.2312,24355.77,17.8064,58.5156
2009,Sep,1834.11,996.59,17473.18,16.39,44.28,24,2274.2964,1235.7716,21666.7432,20.3236,54.9072
2009,Oct,1878.57,1043.16,18525.23,17.24,46.11,24,2329.4268,1293.5184,22971.2852,21.3776,57.1764
2009,Nov,1949.29,1127.04,16991.19,17.82,44.75,24,2417.1196,1397.5296,21069.0756,22.0968,55.49
2009,Dec,2180.1,1134.72,17066.43,17.64,44.44,24,2703.324,1407.0528,21162.3732,21.8736,55.1056
2010,Jan,2235.15,1117.96,18439.25,17.75,43.83,22,2726.883,1363.9112,22495.885,21.655,53.4726
2010,Feb,2048.93,1095.41,18976,15.87,42.1,22,2499.6946,1336.4002,23150.72,19.3614,51.362
2010,Mar,2205.63,1113.34,22461.3,17.11,40.91,22,2690.8686,1358.2748,27402.786,20.8742,49.9102
2010,Apr,2316.73,1148.69,26030.75,18.06,41.33,22,2826.4106,1401.4018,31757.515,22.0332,50.4226
2010,May,2040.53,1205.43,22008.16,18.43,41.3,22,2489.4466,1470.6246,26849.9552,22.4846,50.386
2010,Jun,1931.39,1232.92,19388.64,18.45,40.78,22,2356.2958,1504.1624,23654.1408,22.509,49.7516
2010,Jul,1988.27,1192.97,19517.5,17.96,41.94,22,2425.6894,1455.4234,23811.35,21.9112,51.1668
2010,Aug,2118.14,1215.81,21413.33,18.39,46.06,22,2584.1308,1483.2882,26124.2626,22.4358,56.1932
2010,Sep,2162.34,1270.98,22643.41,20.55,46.67,22,2638.0548,1550.5956,27624.9602,25.071,56.9374
2010,Oct,2346.57,1342.02,23807.38,23.39,48.83,22,2862.8154,1637.2644,29045.0036,28.5358,59.5726
2010,Nov,2333.07,1369.89,22909.32,26.54,57.16,22,2846.3454,1671.2658,27949.3704,32.3788,69.7352
2010,Dec,2350.67,1390.55,24111.19,29.32,60.63,22,2867.8174,1696.471,29415.6518,35.7704,73.9686
2011,Jan,2439.53,1360.46,25646.25,28.51,63.88,18.27,2885.232131,1609.016042,30331.81988,33.718777,75.550876
2011,Feb,2508.18,1374.68,28252.25,30.78,65,18.27,2966.424486,1625.834036,33413.93608,36.403506,76.8755
2011,Mar,2555.5,1423.26,26710.35,35.81,63.5,18.27,3022.38985,1683.289602,31590.33095,42.352487,75.10145
2011,Apr,2678.11,1480.89,26408.33,42.7,57.82,18.27,3167.400697,1751.448603,31233.13189,50.50129,68.383714
2011,May,2596.45,1512.58,24236.73,37.34,56.06,18.27,3070.821415,1788.928366,28664.78057,44.162018,66.302162
